2013/09/12 17:00:20 - 54.218.148.232:  Software installation finished.
2013/09/12 17:00:20 - 54.218.148.232:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 17:00:20 - 54.212.164.156:  Software installation finished.
2013/09/12 17:00:20 - 54.212.164.156:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 17:00:20 - 54.245.22.144:   Software installation finished.
2013/09/12 17:00:20 - 54.245.22.144:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 17:00:20 - 54.214.137.21:   Software installation finished.
2013/09/12 17:00:20 - 54.214.137.21:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 17:00:20 - 54.214.184.199:  Software installation finished.
2013/09/12 17:00:20 - 54.214.184.199:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 17:00:20 - 54.214.124.236:  Software installation finished.
2013/09/12 17:00:20 - 54.214.124.236:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 17:00:20 - 54.244.110.95:   Software installation finished.
2013/09/12 17:00:20 - 54.244.110.95:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 17:00:20 - 54.214.93.253:   Checking file contents.
2013/09/12 17:00:20 - 54.245.18.73:    Checking file contents.
2013/09/12 17:00:20 - 54.214.195.4:    Checking file contents.
2013/09/12 17:00:20 - 54.245.57.183:   Checking file contents.
2013/09/12 17:00:20 - 54.245.179.246:  Checking file contents.
2013/09/12 17:00:21 - 54.218.164.162:  Checking file contents.
2013/09/12 17:00:21 - 54.214.117.100:  Checking file contents.
2013/09/12 17:00:21 - 54.245.155.232:  Checking file contents.
2013/09/12 17:00:21 - 54.212.164.156:  Checking file contents.
2013/09/12 17:00:21 - 54.245.221.118:  Checking file contents.
2013/09/12 17:00:21 - 54.218.148.232:  Checking file contents.
2013/09/12 17:00:21 - 54.245.22.144:   Checking file contents.
2013/09/12 17:00:21 - 54.214.137.21:   Checking file contents.
2013/09/12 17:00:21 - 54.214.93.253:   Remote file contents confirmed.
2013/09/12 17:00:21 - 54.212.160.99:   Checking file contents.
2013/09/12 17:00:21 - 54.245.18.73:    Remote file contents confirmed.
2013/09/12 17:00:21 - 54.214.184.199:  Checking file contents.
2013/09/12 17:00:21 - 54.214.195.4:    Remote file contents confirmed.
2013/09/12 17:00:21 - 54.245.57.183:   Remote file contents confirmed.
2013/09/12 17:00:21 - 54.245.179.246:  Remote file contents confirmed.
2013/09/12 17:00:21 - 54.214.124.236:  Checking file contents.
2013/09/12 17:00:21 - 54.244.110.95:   Checking file contents.
2013/09/12 17:00:21 - 54.214.117.100:  Remote file contents confirmed.
2013/09/12 17:00:21 - 54.212.164.156:  Remote file contents confirmed.
2013/09/12 17:00:21 - 54.245.155.232:  Remote file contents confirmed.
2013/09/12 17:00:21 - 54.218.164.162:  Remote file contents confirmed.
2013/09/12 17:00:21 - 54.245.221.118:  Remote file contents confirmed.
2013/09/12 17:00:21 - 54.218.148.232:  Remote file contents confirmed.
2013/09/12 17:00:21 - 54.212.160.99:   Remote file contents confirmed.
2013/09/12 17:00:21 - 54.245.22.144:   Remote file contents confirmed.
2013/09/12 17:00:21 - 54.214.137.21:   Remote file contents confirmed.
2013/09/12 17:00:21 - 54.214.184.199:  Remote file contents confirmed.
2013/09/12 17:00:21 - 54.214.124.236:  Remote file contents confirmed.
2013/09/12 17:00:21 - 54.244.110.95:   Remote file contents confirmed.
2013/09/12 17:00:21 - 54.245.18.73:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/12 17:00:21 - 54.245.18.73:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2013/09/12 17:00:21 - 54.214.93.253:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/12 17:00:21 - 54.214.93.253:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2013/09/12 17:00:21 - 54.214.195.4:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/12 17:00:21 - 54.214.195.4:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2013/09/12 17:00:21 - 54.245.57.183:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/12 17:00:21 - 54.245.57.183:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2013/09/12 17:00:21 - 54.245.179.246:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/12 17:00:21 - 54.245.179.246:  Sending /etc/HPCCSystems/environment.xml via SFTP.
2013/09/12 17:00:21 - 54.214.117.100:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/12 17:00:21 - 54.214.117.100:  Sending /etc/HPCCSystems/environment.xml via SFTP.
2013/09/12 17:00:22 - 54.212.164.156:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/12 17:00:22 - 54.212.164.156:  Sending /etc/HPCCSystems/environment.xml via SFTP.
2013/09/12 17:00:22 - 54.245.155.232:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/12 17:00:22 - 54.245.155.232:  Sending /etc/HPCCSystems/environment.xml via SFTP.
2013/09/12 17:00:22 - 54.218.164.162:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/12 17:00:22 - 54.218.164.162:  Sending /etc/HPCCSystems/environment.xml via SFTP.
2013/09/12 17:00:22 - 54.212.160.99:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
