2013/05/14 16:47:32 - 54.245.140.192:  Connecting via SSH.
2013/05/14 16:47:32 - 54.244.203.137:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:32 - 54.244.203.137:  Completed check of node 54.244.203.137.
2013/05/14 16:47:32 - 50.112.196.120:  Checking EC2 instance i-ba348b8f.
2013/05/14 16:47:32 - 54.214.64.196:   Checking EC2 instance is running.
2013/05/14 16:47:32 - 54.214.64.196:   Connecting via SSH.
2013/05/14 16:47:32 - 54.244.147.82:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:33 - 54.244.147.82:   Completed check of node 54.244.147.82.
2013/05/14 16:47:33 - 50.112.82.55:    Checking EC2 instance i-a4348b91.
2013/05/14 16:47:33 - 54.245.138.94:   Checking EC2 instance is running.
2013/05/14 16:47:33 - 54.245.138.94:   Connecting via SSH.
2013/05/14 16:47:33 - 50.112.196.120:  Checking EC2 instance is running.
2013/05/14 16:47:33 - 50.112.196.120:  Connecting via SSH.
2013/05/14 16:47:33 - 54.245.9.186:    Checking EC2 instance is running.
2013/05/14 16:47:33 - 54.245.9.186:    Connecting via SSH.
2013/05/14 16:47:33 - 50.112.70.74:    Checking EC2 instance is running.
2013/05/14 16:47:33 - 54.214.115.191:  Checking EC2 instance is running.
2013/05/14 16:47:33 - 50.112.70.74:    Connecting via SSH.
2013/05/14 16:47:33 - 54.214.74.75:    Checking EC2 instance is running.
2013/05/14 16:47:33 - 54.214.115.191:  Connecting via SSH.
2013/05/14 16:47:33 - 54.214.74.75:    Connecting via SSH.
2013/05/14 16:47:33 - 54.245.169.44:   Checking EC2 instance is running.
2013/05/14 16:47:33 - 54.245.169.44:   Connecting via SSH.
2013/05/14 16:47:33 - 50.112.82.55:    Checking EC2 instance is running.
2013/05/14 16:47:33 - 54.214.61.38:    Software installation finished.
2013/05/14 16:47:33 - 54.214.61.38:    Sending /home/ubuntu/node_health_script via SFTP.
