2012/02/10 17:16:11 - Connecting to AWS region us-west-2.
2012/02/10 17:16:11 - Calculating new unique cluster name for request 121.
2012/02/10 17:16:13 - Creating new cluster name, Thor-K93V.
2012/02/10 17:16:13 - Creating Thor-K93V security group.
2012/02/10 17:16:17 - Creating Thor-K93V key pair.
2012/02/10 17:16:17 - Launching 5 m1.large nodes using ami-1c78f52c.
2012/02/10 17:16:18 - Reservation ID r-44420774 created.
2012/02/10 17:16:18 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:25 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:31 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:37 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:44 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:50 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:56 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:17:03 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:17:09 - Waiting for 2 of 5 nodes to launch.
2012/02/10 17:17:14 - Pending instances have completed.
2012/02/10 17:17:14 - Checking each node launched properly.
2012/02/10 17:24:22 - 50.112.47.78:    Waiting for software to install.
2012/02/10 17:24:26 - 50.112.33.90:    Waiting for software to install.
2012/02/10 17:24:27 - 50.112.27.78:    Waiting for software to install.
2012/02/10 17:24:28 - 50.112.6.65:     Waiting for software to install.
2012/02/10 17:24:31 - 50.112.17.20:    Waiting for software to install.
2012/02/10 17:24:33 - 50.112.47.78:    Waiting for software to install.
2012/02/10 17:24:36 - 50.112.33.90:    Waiting for software to install.
2012/02/10 17:24:37 - 50.112.27.78:    Waiting for software to install.
2012/02/10 17:24:38 - 50.112.6.65:     Waiting for software to install.
2012/02/10 17:24:41 - 50.112.17.20:    Waiting for software to install.
2012/02/10 17:24:43 - 50.112.47.78:    Waiting for software to install.
2012/02/10 17:24:46 - 50.112.33.90:    Waiting for software to install.
2012/02/10 17:24:47 - 50.112.27.78:    Waiting for software to install.
2012/02/10 17:24:48 - 50.112.6.65:     Waiting for software to install.
2012/02/10 17:24:52 - 50.112.17.20:    Waiting for software to install.
2012/02/10 17:24:54 - 50.112.47.78:    Waiting for software to install.
2012/02/10 17:24:57 - 50.112.33.90:    Waiting for software to install.
2012/02/10 17:24:58 - 50.112.27.78:    Waiting for software to install.
2012/02/10 17:24:59 - 50.112.6.65:     Waiting for software to install.
2012/02/10 17:25:02 - 50.112.17.20:    Waiting for software to install.
2012/02/10 17:25:04 - 50.112.47.78:    Waiting for software to install.
2012/02/10 17:25:07 - 50.112.33.90:    Waiting for software to install.
2012/02/10 17:25:08 - 50.112.27.78:    Waiting for software to install.
2012/02/10 17:25:09 - 50.112.6.65:     Waiting for software to install.
2012/02/10 17:25:12 - 50.112.17.20:    Waiting for software to install.
2012/02/10 17:25:14 - 50.112.47.78:    Waiting for software to install.
2012/02/10 17:25:17 - 50.112.33.90:    Waiting for software to install.
2012/02/10 17:25:18 - 50.112.27.78:    Waiting for software to install.
2012/02/10 17:25:19 - 50.112.6.65:     Waiting for software to install.
2012/02/10 17:25:23 - 50.112.17.20:    Waiting for software to install.
2012/02/10 17:25:26 - 50.112.47.78:    Waiting for software to install.
2012/02/10 17:25:28 - 50.112.33.90:    Waiting for software to install.
2012/02/10 17:25:29 - 50.112.27.78:    Waiting for software to install.
2012/02/10 17:25:30 - 50.112.6.65:     Waiting for software to install.
2012/02/10 17:25:33 - 50.112.17.20:    Waiting for software to install.
2012/02/10 17:25:36 - 50.112.47.78:    Waiting for software to install.
2012/02/10 17:25:38 - 50.112.33.90:    Waiting for software to install.
2012/02/10 17:25:39 - 50.112.27.78:    Waiting for software to install.
2012/02/10 17:25:40 - 50.112.6.65:     Waiting for software to install.
2012/02/10 17:25:43 - 50.112.17.20:    Waiting for software to install.
2012/02/10 17:25:46 - 50.112.47.78:    Waiting for software to install.
2012/02/10 17:25:48 - 50.112.33.90:    Waiting for software to install.
2012/02/10 17:25:49 - 50.112.27.78:    Waiting for software to install.
2012/02/10 17:25:50 - 50.112.6.65:     Waiting for software to install.
2012/02/10 17:25:54 - 50.112.17.20:    Waiting for software to install.
2012/02/10 17:25:57 - 50.112.47.78:    Waiting for software to install.
2012/02/10 17:25:58 - Terminating cluster.
2012/02/10 17:25:58 - Connecting to AWS region us-west-2.
2012/02/10 17:25:59 - Gathering instances for Thor-K93V.
2012/02/10 17:25:59 - 50.112.33.90:    Waiting for software to install.
2012/02/10 17:25:59 - Terminating instances.
2012/02/10 17:26:00 - 50.112.27.78:    Waiting for software to install.
2012/02/10 17:26:01 - 50.112.6.65:     Waiting for software to install.
2012/02/10 17:26:04 - Unhandled error occured when checking for bad instances
2012/02/10 17:26:04 - An exception occured.
                      AttributeError: 'NoneType' object has no attribute 'exec_command'
2012/02/10 17:26:04 - 50.112.17.20:    Completed check of node 50.112.17.20.
2012/02/10 17:26:04 - 'NoneType' object has no attribute 'exec_command'
2012/02/10 17:26:05 - Waiting for 5 instances to terminate.
2012/02/10 17:26:07 - Unhandled error occured when checking for bad instances
2012/02/10 17:26:07 - An exception occured.
                      AttributeError: 'NoneType' object has no attribute 'exec_command'
2012/02/10 17:26:07 - 50.112.47.78:    Completed check of node 50.112.47.78.
2012/02/10 17:26:07 - 'NoneType' object has no attribute 'exec_command'
2012/02/10 17:26:09 - Unhandled error occured when checking for bad instances
